Name;Definition;Unit;Source;Type;VarIndex;PltExpoIndex
drain_from_lev;cumulative amount of water drained at the base of the soil profile during the crop cycle (emergence or budbreak to harvest);mm;sc;real;0;0
drain_from_plt;cumulative amount of water drained at the base of the soil profile during the crop cycle (planting to harvest);mm;sc;real;0;0
drat;cumulative amount of water drained at the base of the soil profile during the simulation period;mm;sc;real;0;0
drlsenmortalle;root biomass corresponding to dead tillers;t.ha-1.d-1;p;real;0;0
DSMN;change in soil mineral N between beginning and end of simulation;kg.ha-1;sc;real;0;0
DSOC;change in soil organic C (without residues) between beginning and end of simulation;kg.ha-1;sc;real;0;0
DSOCtot;change in total soil organic C (with residues) between beginning and end of simulation;kg.ha-1;sc;real;0;0
DSON;change in soil organic N (without residues) between beginning and end of simulation;kg.ha-1;sc;real;0;0
DSONtot;change in total soil organic N (with residues) between beginning and end of simulation;kg.ha-1;sc;real;0;0
DSTN;change in total soil N (mineral + organic) between beginning and end of simulation;kg.ha-1;sc;real;0;0
dtj(n);thermal time for root growth;degreeC.d;p;real;n;0
dureehumec;number of hours which are wet (rainy days or days when tcult < dew point);hour;c;real;0;0
dureeRH;number of night hours during which relative humidity exceeds a 90% threshold;hour;c;real;0;0
durvie(n);actual life span of the leaf surface;degreeC;p;real;n;3
eai;equilvalent leaf area for ear;m2.m-2;p;real;0;2
ebmax;maximum value of radiation use efficiency;cg.MJ-1;p;real;0;1
ebmax_gr; Maximum radiation use efficiency during the vegetative stage (AMF-DRP);g MJ-1;p;real;0;0
Edirect;daily amount of water evaporated by the soil + intercepted by leaves and mulch;mm.d-1;sc;real;0;0
efda;reduction factor on root growth due to physical constraint (through bulk density);0-1;p;real;0;0
efdensite;density factor on leaf area growth;0-1;p;real;0;0
efdensite_rac;density factor on root growth;0-1;p;real;0;0
efNrac_mean;reduction factor on root growth rate due to mineral N concentration;0-1;p;real;0;0
em_N2O;daily amount of N2O-N emitted from soil;kg.ha-1.d-1;sc;real;0;0
em_N2Oden;daily amount of N2O-N emitted from soil by denitrification;kg.ha-1.d-1;sc;real;0;0
em_N2Onit;daily amount of N2O-N emitted from soil by nitrification;kg.ha-1.d-1;sc;real;0;0
Emd;daily amount of water directly evaporated after leaves interception;mm.d-1;p;real;0;1
emulch;daily amount of water directly evaporated after mulch interception;mm.d-1;sc;real;0;0
eo;intermediary variable for the computation of evapotranspiration;mm.d-1;sc;real;0;0
eop;daily maximum transpiration flux;mm.d-1;p;real;0;2
eos;daily maximum evaporation flux;mm.d-1;sc;real;0;0
ep;daily actual transpiration flux;mm.d-1;p;real;0;2
epc_recal(1);thickness of the soil layer 1 (recalculated  by the model if codeDSTtass is 1);cm;soil;real;1;0
epc_recal(2);thickness of the soil layer 2 (recalculated  by the model if codeDSTtass is 1);cm;soil;real;2;0
epc_recal(3);thickness of the soil layer 3 (recalculated  by the model if codeDSTtass is 1);cm;soil;real;3;0
epc_recal(4);thickness of the soil layer 4 (recalculated  by the model if codeDSTtass is 1);cm;soil;real;4;0
epc_recal(5);thickness of the soil layer 5 (recalculated  by the model if codeDSTtass is 1);cm;soil;real;5;0
epsib;radiation use efficiency;t.ha-1.MJ-1.m2;p;real;0;2
esol;daily actual soil evaporation flux;mm.d-1;sc;real;0;0
et;daily evapotranspiration (esol + ep);mm.d-1;sc;real;0;0
et0;daily maximun evapotranspiration flux (transpiration + soil evaporation);mm;p;real;0;0
etm;daily maximum evapotranspiration (esol + eop);mm.d-1;sc;real;0;0
etm_etr1moy;etm/etr ratio on the vegetative phase;0-1;p;real;0;1
etm_etr2moy;etm/etr ratio on the reproductive phase;0-1;p;real;0;1
etpp(n);daily potential evapotranspiration as given by the formula of Penman;mm.d-1;c;real;n;0
etr_etm1moy;etr/etm ratio on the vegetative phase;0-1;p;real;0;1
etr_etm2moy;etr/etm ratio on the reproductive phase;0-1;p;real;0;1
exces(1);amount of water in the macroporosity of the layer 1;mm;sc;real;1;0
exces(2);amount of water in the macroporosity of the layer 2;mm;sc;real;2;0
exces(3);amount of water in the macroporosity of the layer 3;mm;sc;real;3;0
exces(4);amount of water in the macroporosity of the layer 4;mm;sc;real;4;0
exces(5);amount of water in the macroporosity of the layer 5;mm;sc;real;5;0
exobiom;reduction factor on biomass growth due to water excess;0-1;p;real;0;1
exofac;waterlogging index;0-1;p;real;0;1
exofac1moy;mean value of the waterlogging index during the vegetative stage (emergence - fruit establishment);0-1;p;real;0;1
exofac2moy;mean value of the waterlogging index during the reproductive stage (fruit establishment - maturity);0-1;p;real;0;1
exolai;reduction factor on leaf growth due to water excess;0-1;p;real;0;1
fapar;proportion of the radiation intercepted;0-1;p;real;0;2
fco2;specie-dependant CO2 effect on radiation use efficiency;SD;p;real;0;0
fco2s;specie-dependant CO2 effect onstomate closure;SD;p;real;0;0
fgelflo;reduction factor on the number of fruits due to frost;0-1;p;real;0;1
fixmaxvar;maximal rate of BNF (symbiotic fixation);kg.ha-1.d-1;p;real;0;2
fixpot;potential rate of BNF (symbiotic fixation);kg.ha-1.d-1;p;real;0;2
fixreel;actual rate of BNF (symbiotic fixation);kg.ha-1.d-1;p;real;0;2
flurac;daily amount of N taken up by the plant when N uptake is limited by the plant capacity absorption;kg.ha-1.d-1;p;real;0;1
flusol;daily amount of N taken up by the plant when N uptake is limited by the transfer from soil to root;kg.ha-1.d-1;p;real;0;1
fpari;radiation effect on  conversion efficiency;g.MJ-1;p;real;0;1
fpari_gr;radiation factor on the calculation of conversion efficiency;g MJ-1;p;real;0;0
fpft;daily sink capacity of fruits;g.m-2.d-1;p;real;0;2
fpv(n);daily sink capacity of growing leaves;g.m-2.d-1;p;real;n;2
FsNH3;daily amount of NH3-N emitted from soil by volatilisation;micro g.m-2.d-1;sc;real;0;0
fstressgel;reduction factor on leaf growth due to frost;0-1;p;real;0;1
ftemp;reduction factor on biomass growth due to temperature-related epsibmax;0-1;p;real;0;1
fxa;reduction factor on BNF (symbiotic fixation) due to soil anoxia;0-1;sc;real;0;0
fxn;reduction factor on BNF (symbiotic fixation) due to mineral N concentration;0-1;sc;real;0;0
fxt;reduction factor on BNF (symbiotic fixation) due to soil temperature;0-1;sc;real;0;0
fxw;reduction factor on BNF (symbiotic fixation) due to soil water content;0-1;sc;real;0;0
gel1;stress factor on leaves damaged by frost before amf stage (end of juvenile phase );0-1;p;real;0;0
gel1_percent;proportion of leaves damaged by frost before amf stage (end of juvenile phase );%;p;real;0;0
gel2;stress factor on leaves damaged by frost after amf stage (end of juvenile phase );0-1;p;real;0;0
gel2_percent;proportion of leaves damaged by frost after amf stage (end of juvenile phase );%;p;real;0;0
gel3;stress factor on flowers or fruits damaged by frost;0-1;p;real;0;0
gel3_percent;proportion of flowers or fruits damaged by frost;%;p;real;0;0
GHG;Greenhouse Gas emission (CO2 + N2O) expressed in CO2eq/ha =Qem_N2O*44/28*296 -DSOC*44/12;kg.ha-1;sc;real;0;0
grain_dry_weight_mg;Grain unit dry weight;mg;p;real;0;0
H2Orec;water content of harvested organs;0-1;p;real;0;2
H2Orec_percent;water content of harvested organs;% fresh weight;p;real;0;0
hauteur;height of canopy;m;p;real;0;2
HI_C;harvest index for carbon;0-1;p;real;0;0
HI_N;harvest index for nitrogen;0-1;p;real;0;0
Hmax;maximum height of water table between drains;cm;soil;real;0;0
hnappe;height of water table affecting plant growth;cm;soil;real;0;0
Hpb;minimum depth of perched water table;cm;soil;real;0;0
Hph;maximum depth of perched water table;cm;soil;real;0;0
HR(1);water content of the soil layer 1;% dry weight;sc;real;1;0
HR(2);water content of the soil layer 2;% dry weight;sc;real;2;0
HR(3);water content of the soil layer 3;% dry weight;sc;real;3;0
HR(4);water content of the soil layer 4;% dry weight;sc;real;4;0
HR(5);water content of the soil layer 5;% dry weight;sc;real;5;0
HR_mm(1);water content of the soil layer 1;mm;sc;real;1;0
HR_mm(2);water content of the soil layer 2;mm;sc;real;2;0
HR_mm(3);water content of the soil layer 3;mm;sc;real;3;0
HR_mm(4);water content of the soil layer 4;mm;sc;real;4;0
HR_mm(5);water content of the soil layer 5;mm;sc;real;5;0
HR_mm_1_30;water content of the layer 1-30 cm;mm;sc;real;0;0
HR_mm_31_60;water content of the layer 31-60 cm;mm;sc;real;0;0
HR_mm_61_90;water content of the layer 61-90 cm;mm;sc;real;0;0
HR_vol_1_10;water content of the layer 1-10 cm;mm-3.mm-3;sc;real;0;0
HR_vol_1_30;water content of the layer 1-30 cm  (table);mm-3.mm-3;sc;real;0;0
HR_vol_121_150;water content of the layer 121-150 cm  (table);mm-3.mm-3;sc;real;0;0
HR_vol_151_180;water content of the layer 151-180 cm  (table);mm-3.mm-3;sc;real;0;0
HR_vol_31_60;water content of the layer 31-60 cm  (table);mm-3.mm-3;sc;real;0;0
HR_vol_61_90;water content of the layer 61-90 cm  (table);mm-3.mm-3;sc;real;0;0
HR_vol_91_120;water content of the layer 91-120 cm (table);mm-3.mm-3;sc;real;0;0
huile;oil content of harvested organs;0-1;p;real;0;2
huile_percent;oil content of harvested organs;% fresh weight;p;real;0;0
humair;air moisture content;0-1;c;real;0;0
humair_percent;air moisture content;% saturation;c;real;0;0
humidite;air moisture content in the canopy;0-1;sc;real;0;0
humidite_percent;air moisture content in the canopy;% saturation;sc;real;0;0
humirac_mean;reduction factor on root growth due to soil water content (mean value over the root profile);0-1;p;real;0;1
hur_10_vol;soil water content in the soil at 10 cm ;cm/cm;sc;real;0;0
husup_by_horizon(1);drainage under the horizon 1;mm;sc;real;1;0
husup_by_horizon(2);drainage under the horizon 2;mm;sc;real;2;0
husup_by_horizon(3);drainage under the horizon 3;mm;sc;real;3;0
husup_by_horizon(4);drainage under the horizon 4;mm;sc;real;4;0
husup_by_horizon(5);drainage under the horizon 5;mm;sc;real;5;0
husup_under_profmes;drainage under the depth of measurement profmes;mm;sc;real;0;0
iamfs;date of amf stage (maximum acceleration of leaf growth, end of juvenile phase );julian day;p;integer;0;1
idebdess;date of onset of water dynamics in harvested organs;julian day;p;integer;0;1
idebdorms;date of entry into dormancy;julian day;p;integer;0;1
idrps;starting date of filling of harvested organs;julian day;p;integer;0;1
ifindorms;date of emergence from dormancy;julian day;p;integer;0;1
iflos;date of flowering;julian day;p;integer;0;1
iflos_minus_150;date of flowering minus150 degrees day;julian day;p;integer;0;1
iflos_plus_150;date of flowering plus 150 degrees day;julian day;p;integer;0;1
igers;date of germination;julian day;p;integer;0;1
ilans;date of lan stage (leaf index nil);julian day;p;integer;0;1
ilaxs;date of lax stage (leaf index maximum);julian day;p;integer;0;1
ilevs;date of emergence;julian day;p;integer;0;1
imats;date of start of physiological maturity;julian day;p;integer;0;1
imontaisons;date of start of stem elongation;julian day;p;integer;0;0
infil_recal(1);infiltrability parameter at the base of the layer 1;mm.d-1;soil;real;1;0
infil_recal(2);infiltrability parameter at the base of the layer 2;mm.d-1;soil;real;2;0
infil_recal(3);infiltrability parameter at the base of the layer 3;mm.d-1;soil;real;3;0
infil_recal(4);infiltrability parameter at the base of the layer 4;mm.d-1;soil;real;4;0
infil_recal(5);infiltrability parameter at the base of the layer 5;mm.d-1;soil;real;5;0
inn;nitrogen nutrition index (NNI);0-2;p;real;0;2
inn1intercoupe;average NNI during the cut (cut crop vegetative phase: emergence to maximum LAI);0-2;p;real;0;0
inn1moy;average NNI during the vegetative stage;0-2;p;real;0;1
inn2intercoupe;average NNI during the cut (cut crop reproductive phase: maximum LAI  to maturity);0-2;p;real;0;0
inn2moy;average NNI during the reproductive stage;0-2;p;real;0;1
innlai;reduction factor on leaf growth due to NNI (nitrogen deficiency);innmin to 1;p;real;0;2
inns;reduction factor on biomass growth due to NNI (nitrogen deficiency);innmin to 1;p;real;0;2
innsenes;nitrogen stress index affecting leaves death;innmin to 1;p;real;0;2
inous;ending date for setting of harvested organs;julian day;p;real;0;1
intermulch;daily amount of water intercepted by the mulch (vegetal);mm.d-1;sc;real;0;0
interpluie;daily amount of water intercepted by leaves;mm.d-1;p;real;0;2
iplts;date of sowing or planting;julian day;p;integer;0;1
irazo(n);nitrogen harvest index;0-1;p;real;n;2
ircarb(n);carbon harvest index;0-1;p;real;n;2
irecs;date of harvest (first if several);julian day;p;integer;0;1
irrigjN;daily amount of mineral N added by irrigation;kg.ha-1.d-1;sc;real;0;0
irrigN;cumulative amount of mineral N added by irrigation;kg.ha-1;sc;real;0;0
isens;date of  begninning leaf senescence stage;julian day;p;integer;0;1
is_dominant;1 if the plant is dominant, 0 otherwise;code 0/1;p;logical;0;0
izrac;water excess stress index on roots;0-1;p;real;0;1
lai(n);leaf area index (table);m2.m-2;p;real;n;2
lai_mx_av_cut;LAI before cut (for cut crops , for others = lai(n) );SD;p;real;0;1
laimax;maximum leaf area index;m2.m-2;p;real;0;2
laisen(n);leaf area index of senescent leaves (table);m2.m-2;p;real;n;2
largeur;width of the plant shape;m;p;real;0;1
